Id,Population Group,Id,Id2,Geography,Average family size
1,Total population,1580000US3651000005025200,3651000005025200,"Census Tract 252, Bronx County, New York city, New York",3.09
1,Total population,1580000US3651000005025300,3651000005025300,"Census Tract 253, Bronx County, New York city, New York",3.67
1,Total population,1580000US3651000005025400,3651000005025400,"Census Tract 254, Bronx County, New York city, New York",2.98
1,Total population,1580000US3651000005025500,3651000005025500,"Census Tract 255, Bronx County, New York city, New York",3.62
1,Total population,1580000US3651000005025600,3651000005025600,"Census Tract 256, Bronx County, New York city, New York",3.16
1,Total population,1580000US3651000005025700,3651000005025700,"Census Tract 257, Bronx County, New York city, New York",3.37
1,Total population,1580000US3651000005025800,3651000005025800,"Census Tract 258, Bronx County, New York city, New York",3.2
1,Total population,1580000US3651000005026100,3651000005026100,"Census Tract 261, Bronx County, New York city, New York",2.56
1,Total population,1580000US3651000005026300,3651000005026300,"Census Tract 263, Bronx County, New York city, New York",3.37
1,Total population,1580000US3651000005026400,3651000005026400,"Census Tract 264, Bronx County, New York city, New York",3.04
1,Total population,1580000US3651000005026500,3651000005026500,"Census Tract 265, Bronx County, New York city, New York",3.72
1,Total population,1580000US3651000005026601,3651000005026601,"Census Tract 266.01, Bronx County, New York city, New York",2.89
1,Total population,1580000US3651000005026602,3651000005026602,"Census Tract 266.02, Bronx County, New York city, New York",2.86
1,Total population,1580000US3651000005026700,3651000005026700,"Census Tract 267, Bronx County, New York city, New York",3.35
1,Total population,1580000US3651000005026900,3651000005026900,"Census Tract 269, Bronx County, New York city, New York",3.38
1,Total population,1580000US3651000005027101,3651000005027101,"Census Tract 271.01, Bronx County, New York city, New York",3.03
1,Total population,1580000US3651000005027300,3651000005027300,"Census Tract 273, Bronx County, New York city, New York",3.51
1,Total population,1580000US3651000005027400,3651000005027400,"Census Tract 274, Bronx County, New York city, New York",3.11
1,Total population,1580000US3651000005027700,3651000005027700,"Census Tract 277, Bronx County, New York city, New York",3.47
1,Total population,1580000US3651000005027900,3651000005027900,"Census Tract 279, Bronx County, New York city, New York",3.09
1,Total population,1580000US3651000005028100,3651000005028100,"Census Tract 281, Bronx County, New York city, New York",2.8
1,Total population,1580000US3651000005028300,3651000005028300,"Census Tract 283, Bronx County, New York city, New York",3.22
1,Total population,1580000US3651000005028400,3651000005028400,"Census Tract 284, Bronx County, New York city, New York",3
1,Total population,1580000US3651000005028500,3651000005028500,"Census Tract 285, Bronx County, New York city, New York",2.8
1,Total population,1580000US3651000005028600,3651000005028600,"Census Tract 286, Bronx County, New York city, New York",2.99
1,Total population,1580000US3651000005028700,3651000005028700,"Census Tract 287, Bronx County, New York city, New York",3.21
