Neighborhoods,MSE,x,y,Avg_Familysize,Avg_ENG,Avg_School,Avg_Income
grasmere,0.000006,-74.080458,40.600815,3.29000000,4146.45454545,73.45454545,0.53440190
bellerose,0.000134,-73.723124,40.739930,3.40000000,2795.11111111,43.44444444,0.53668489
mott-haven,0.000028,-73.922710,40.811137,3.50266667,3734.53333333,62.66666667,0.84867391
melrose,0.000483,-73.914510,40.809628,3.50266667,3734.53333333,62.66666667,0.84867391
central-harlem,0.000022,-73.946382,40.810601,3.08944444,4203.72222222,90.16666667,0.82582224
east-harlem,0.000073,-73.940810,40.804310,3.07454545,4525.63636364,99.40909091,0.83015066
manhattan-valley,0.000011,-73.966800,40.797983,2.76700000,8338.85000000,135.20000000,0.42748591
upper-west-side,0.000020,-73.976114,40.786539,2.76700000,8338.85000000,135.20000000,0.42748591
columbus-circle,0.000008,-73.982035,40.768200,2.56769231,6571.23076923,72.00000000,0.40802714
lincoln-square,0.000031,-73.989866,40.775508,2.56769231,6571.23076923,72.00000000,0.40802714
