Id,Population Group,Id,Id2,Geography,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
1,Total population,1580000US3651000005020602,3651000005020602,"Census Tract 206.02, Bronx County, New York city, New York",349,43,26,7,33,38,33,51,21,19,22,35,21,0,0,0,0
1,Total population,1580000US3651000005020800,3651000005020800,"Census Tract 208, Bronx County, New York city, New York",742,137,35,41,87,48,90,55,42,20,57,32,50,12,28,8,0
1,Total population,1580000US3651000005021000,3651000005021000,"Census Tract 210, Bronx County, New York city, New York",6551,1085,386,418,617,401,561,453,389,281,554,607,566,111,31,37,54
1,Total population,1580000US3651000005021100,3651000005021100,"Census Tract 211, Bronx County, New York city, New York",1420,426,160,155,99,144,82,74,55,49,80,45,22,5,12,6,6
1,Total population,1580000US3651000005021200,3651000005021200,"Census Tract 212, Bronx County, New York city, New York",2160,276,172,58,212,209,161,198,163,94,149,200,245,23,0,0,0
1,Total population,1580000US3651000005021301,3651000005021301,"Census Tract 213.01, Bronx County, New York city, New York",500,200,43,42,68,34,15,25,0,7,14,23,20,9,0,0,0
1,Total population,1580000US3651000005021302,3651000005021302,"Census Tract 213.02, Bronx County, New York city, New York",1271,335,146,89,67,98,102,121,66,54,87,59,19,19,9,0,0
1,Total population,1580000US3651000005021400,3651000005021400,"Census Tract 214, Bronx County, New York city, New York",237,16,8,12,37,0,6,8,6,7,8,14,49,22,37,7,0
1,Total population,1580000US3651000005021501,3651000005021501,"Census Tract 215.01, Bronx County, New York city, New York",1066,332,138,96,99,107,50,57,48,13,52,31,0,16,6,7,14
1,Total population,1580000US3651000005021502,3651000005021502,"Census Tract 215.02, Bronx County, New York city, New York",2005,649,304,169,256,142,78,53,58,79,52,71,43,17,11,0,23
1,Total population,1580000US3651000005021601,3651000005021601,"Census Tract 216.01, Bronx County, New York city, New York",1474,209,150,83,112,114,92,158,95,77,96,146,95,26,4,17,0
1,Total population,1580000US3651000005021602,3651000005021602,"Census Tract 216.02, Bronx County, New York city, New York",2212,385,113,125,147,132,210,196,156,81,217,197,157,36,19,15,26
1,Total population,1580000US3651000005021701,3651000005021701,"Census Tract 217.01, Bronx County, New York city, New York",1510,594,160,46,109,76,72,67,73,48,84,71,59,0,28,18,5
1,Total population,1580000US3651000005021702,3651000005021702,"Census Tract 217.02, Bronx County, New York city, New York",154,54,14,6,18,20,17,14,11,0,0,0,0,0,0,0,0
1,Total population,1580000US3651000005021800,3651000005021800,"Census Tract 218, Bronx County, New York city, New York",2260,530,179,219,157,165,194,149,175,93,109,131,114,36,0,0,9
1,Total population,1580000US3651000005021900,3651000005021900,"Census Tract 219, Bronx County, New York city, New York",407,139,44,28,49,44,35,16,17,13,9,13,0,0,0,0,0
1,Total population,1580000US3651000005022000,3651000005022000,"Census Tract 220, Bronx County, New York city, New York",589,255,104,55,56,19,45,7,20,0,9,0,9,3,0,7,0
1,Total population,1580000US3651000005022100,3651000005022100,"Census Tract 221, Bronx County, New York city, New York",2494,806,238,182,156,176,165,201,171,74,145,84,87,9,0,0,0
1,Total population,1580000US3651000005022300,3651000005022300,"Census Tract 223, Bronx County, New York city, New York",3156,1062,302,226,197,252,154,185,131,123,162,190,75,24,7,16,50
1,Total population,1580000US3651000005022401,3651000005022401,"Census Tract 224.01, Bronx County, New York city, New York",1086,256,43,55,96,86,93,84,70,69,60,57,70,22,14,6,5
1,Total population,1580000US3651000005022402,3651000005022402,"Census Tract 224.02, Bronx County, New York city, New York",2879,466,248,223,245,199,210,175,181,134,210,272,184,63,54,8,7
1,Total population,1580000US3651000005022500,3651000005022500,"Census Tract 225, Bronx County, New York city, New York",1900,712,149,78,144,105,103,75,110,61,90,76,88,75,0,19,15
1,Total population,1580000US3651000005022701,3651000005022701,"Census Tract 227.01, Bronx County, New York city, New York",1015,325,116,84,98,86,73,60,0,36,47,71,15,0,0,4,0
1,Total population,1580000US3651000005022702,3651000005022702,"Census Tract 227.02, Bronx County, New York city, New York",528,115,85,57,66,52,23,28,17,21,35,11,0,0,0,15,3
1,Total population,1580000US3651000005022703,3651000005022703,"Census Tract 227.03, Bronx County, New York city, New York",573,109,72,21,49,49,30,26,41,67,11,27,29,16,9,0,17
1,Total population,1580000US3651000005022800,3651000005022800,"Census Tract 228, Bronx County, New York city, New York",2368,441,218,95,103,196,176,128,163,109,190,228,230,63,21,7,0
1,Total population,1580000US3651000005022901,3651000005022901,"Census Tract 229.01, Bronx County, New York city, New York",1897,507,169,122,137,139,134,118,121,82,156,65,93,30,16,0,8
1,Total population,1580000US3651000005022902,3651000005022902,"Census Tract 229.02, Bronx County, New York city, New York",990,261,120,82,80,50,83,79,29,30,77,69,21,9,0,0,0
1,Total population,1580000US3651000005023000,3651000005023000,"Census Tract 230, Bronx County, New York city, New York",992,217,114,68,77,66,86,30,31,10,75,91,93,34,0,0,0
1,Total population,1580000US3651000005023100,3651000005023100,"Census Tract 231, Bronx County, New York city, New York",452,191,21,77,7,4,26,14,29,24,18,15,16,0,0,0,10
1,Total population,1580000US3651000005023200,3651000005023200,"Census Tract 232, Bronx County, New York city, New York",813,116,56,41,94,94,69,37,33,16,32,117,59,16,9,24,0
1,Total population,1580000US3651000005023301,3651000005023301,"Census Tract 233.01, Bronx County, New York city, New York",1641,438,172,92,154,102,170,80,94,80,61,78,84,26,0,0,10
1,Total population,1580000US3651000005023302,3651000005023302,"Census Tract 233.02, Bronx County, New York city, New York",1097,267,58,74,64,55,73,150,78,37,42,96,50,37,7,5,4
1,Total population,1580000US3651000005023400,3651000005023400,"Census Tract 234, Bronx County, New York city, New York",768,95,93,36,62,56,104,31,26,6,96,58,44,37,24,0,0
1,Total population,1580000US3651000005023501,3651000005023501,"Census Tract 235.01, Bronx County, New York city, New York",1389,314,87,125,83,125,101,90,102,55,88,94,80,30,0,0,15
1,Total population,1580000US3651000005023502,3651000005023502,"Census Tract 235.02, Bronx County, New York city, New York",1776,480,194,237,98,163,91,109,70,98,89,63,68,10,0,0,6
